Customer_ID,Customer_Name,Birth_Date,Gender,Marital_Status
1,Simon,2000-01-01,Male,U
1,Simon,2000-01-01,Male,U
2,Mike,1985-03-09,Male,M
3,Jason,1976-10-01,Male,M
4,Andrew,1972-11-04,Male,U
5,Hosse,1990-12-31,Male,M
6,Jose,1960-09-06,Male,M
7,Jennifer,1985-08-25,Female,U
8,Ebony,1983-06-14,Female,M
9,Angela,2001-10-23,Female,M
10,Mickey,2004-01-08,Male,U
11,Donald,1999-05-13,Male,M
12,Donald,1999-05-13,Male,M
13,Tina,1992-05-31,Female,M
14,Julia,1980-04-01,Female,M
15,Jasmine,1993-03-05,Female,U
16,Megan,1998-06-19,Female,U
16,Megan,1998-06-19,Female,U
17,Victor,1970-02-15,Male,M
